phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
DC0625.8: Dont nous serons plus contentz qu'eulx.,DC0625: Si je n'avois de fermeté,S,,G,T,Authentic,A,None,Authentic,None,G
"DC0625.6: Ami perfaict plus que les dieux,",DC0625: Si je n'avois de fermeté,S,,A,T,Authentic,D,G,Plagal,Authentic,G
"DC0625.5: Mais ne fault point que doubte on face,",DC0625: Si je n'avois de fermeté,None,,D,None,Plagal,G,A,Authentic,Authentic,G
"DC0625.2: Non plus que j'ay de bonne grace,",DC0625: Si je n'avois de fermeté,S,,G,T,Authentic,C,D,Authentic,Plagal,G
"DC0625.1: Si je n'avois de fermeté,",DC0625: Si je n'avois de fermeté,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,None,G,None,Authentic,G
DC0624.10: Par ton amour si fais cesser la mienne.,DC0624: Si tu as veu que pour ton feu estaindre,S,,G,T,Authentic,C,None,Authentic,None,G
"DC0624.8: C'est pour t'aimer pour Dieu il t'en souvienne,",DC0624: Si tu as veu que pour ton feu estaindre,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,G,G,Plagal,Authentic,G
"DC0624.6: Qui ne penetre au plus profond de l'ame,",DC0624: Si tu as veu que pour ton feu estaindre,None,,G,None,Plagal,C,C,Authentic,Authentic,G
"DC0624.2: Je me suis mis comme ami en debvoir,",DC0624: Si tu as veu que pour ton feu estaindre,T,"Inverted, Evaded",C,S,Authentic,None,G,None,Plagal,G
DC0623.8: Mais la vostre est par peur estaincte.,DC0623: Vous souvient-il ; ma mignonne,S,,G,T,Authentic,C,None,Authentic,None,G
"DC0623.6: Que m’avez desrobbé ma crainte,",DC0623: Vous souvient-il ; ma mignonne,S,,C,T,Authentic,G,G,Authentic,Authentic,G
"DC0623.2: Qu’un jour me reprouchiez par jeu,",DC0623: Vous souvient-il ; ma mignonne,S,,G,T,Authentic,D,C,Plagal,Authentic,G
"DC0623.1: Vous souvient il point ma mignonne,",DC0623: Vous souvient-il ; ma mignonne,None,,D,None,Plagal,None,G,None,Authentic,G
DC0622.8: Et pour servir on hait la liberté.,DC0622: Je suys a vous mais sçavez vous comment,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0622.2: Comme celuy qui tout entier est vostre,",DC0622: Je suys a vous mais sçavez vous comment,S,,G,T,Authentic,None,G,None,Authentic,G
DC0621.7: Car n’avez pas la lance qu’il me fault.,DC0621: Un gay berger prioit une bergiere,S,,G,T,Authentic,G,None,Authentic,None,G
DC0621.5: Ne pensez pas que ferois tel deffault?,DC0621: Un gay berger prioit une bergiere,None,,G,None,Plagal,G,G,Authentic,Authentic,G
"DC0621.4: Votre parler je trouve deshonneste,",DC0621: Un gay berger prioit une bergiere,S,,G,T,Authentic,G,G,Authentic,Plagal,G
"DC0621.2: En luy faisant du jeu d’aimer requeste,",DC0621: Un gay berger prioit une bergiere,S,,G,T,Authentic,G,G,Authentic,Authentic,G
"DC0621.1: Un gay bergier prioit une bergiere,",DC0621: Un gay berger prioit une bergiere,S,,G,T,Authentic,None,G,None,Authentic,G
DC0620.8: C’est par Dieu faulte de cognoistre.,DC0620: En amour y a du plaisir,S,,F,T,Authentic,C,None,Plagal,None,F
"DC0620.7: Quicter le plaisir pour la peine,",DC0620: En amour y a du plaisir,None,,C,None,Plagal,D,F,Plagal,Authentic,F
"DC0620.6: Que l’un sans l’aultre ne puisse estre,",DC0620: En amour y a du plaisir,None,,D,None,Plagal,None,C,None,Plagal,F
"DC0619.2: En ce joli verd mois de may,",DC0619: Il n'est que d'estre sur l'herbette,S,,F,T,Authentic,None,G,None,Authentic,F
DC0618.8: Qui n'en est pas morte pourtant.,DC0618: Pour avoir fille en mariage,S,,F,T,Authentic,F,None,Authentic,None,F
"DC0618.7: A douze ans le fit ma cousine,",DC0618: Pour avoir fille en mariage,None,,D,None,Plagal,D,F,Plagal,Authentic,F
"DC0618.6: La larme à l'œil en soupirant,",DC0618: Pour avoir fille en mariage,None,,D,None,Plagal,A,D,Plagal,Plagal,F
"DC0618.5: Et demi dict la fille fine,",DC0618: Pour avoir fille en mariage,None,,A,None,Plagal,F,D,Authentic,Plagal,F
"DC0618.2: Vint voir un galland sa voisine,",DC0618: Pour avoir fille en mariage,S,,F,T,Authentic,A,A,Authentic,Plagal,F
"DC0618.1: Pour avoir fille en mariage,",DC0618: Pour avoir fille en mariage,S,,F,T,Authentic,F,A,Authentic,Authentic,F
DC0617.8: Revivre faict sans que mort rien puisse en ce.,DC0617: Si le pouvoir de Diane a esté,S,,F,T,Authentic,E,None,Phrygian,None,F
"DC0617.7: Car ton aspec plaisant, et gratieux,",DC0617: Si le pouvoir de Diane a esté,S,"Displaced, Inverted, Evaded",E,B,Phrygian,A,F,Phrygian,Authentic,F
"DC0617.6: Et en amour trop plus grande puissance,",DC0617: Si le pouvoir de Diane a esté,S,,A,T,Phrygian,F,E,Authentic,Phrygian,F
"DC0617.5: Certes tu as la faveur des haultz dieux,",DC0617: Si le pouvoir de Diane a esté,T,"Displaced, Inverted, Evaded",F,Ct,Authentic,F,A,Authentic,Phrygian,F
"DC0617.2: Sus Acteon estimé courageux,",DC0617: Si le pouvoir de Diane a esté,S,,F,T,Authentic,G,F,Authentic,Authentic,F
DC0616.8: Sur tout verriez son feu paroistre.,DC0616: Dieu doinct le bon jour à m'amye,S,,F,T,Authentic,C,None,Authentic,None,F
"DC0616.6: Pour vous faire son cœur cognoistre,",DC0616: Dieu doinct le bon jour à m'amye,S,,C,T,Authentic,C,F,Authentic,Authentic,F
"DC0616.2: Que ne vis puis hier au soir,",DC0616: Dieu doinct le bon jour à m'amye,Ct,Displaced,F,T,Authentic,F,C,Authentic,Authentic,F
DC0615.8: En trop bon lieu mon coeur ha place.,"DC0615: N'ayez plus peur, mary jaloux",S,,F,T,Authentic,C,None,Authentic,None,F
"DC0615.7: Fi d'amour j'en quicte les armes,","DC0615: N'ayez plus peur, mary jaloux",T,Displaced,C,B,Authentic,A,F,Authentic,Authentic,F
"DC0615.6: Ne me chault d'acquerir leurs graces,","DC0615: N'ayez plus peur, mary jaloux",S,,A,T,Authentic,F,C,Authentic,Authentic,F
"DC0615.2: Pour moy ne fault cacher vos femmes,","DC0615: N'ayez plus peur, mary jaloux",S,,F,T,Authentic,None,A,None,Authentic,F
DC0614.8: Plus que les dieux m’estimerois contente.,DC0614: Mon ami est en grace si parfaict,None,,C,None,Plagal,C,None,Plagal,None,C
"DC0614.7: Las si j’osois à moy seule te dire,",DC0614: Mon ami est en grace si parfaict,None,,C,None,Plagal,D,C,Authentic,Plagal,C
"DC0614.6: Avoir pour soy, ô conqueste excellente,",DC0614: Mon ami est en grace si parfaict,S,,D,T,Authentic,G,C,CAD NDLT,Plagal,C
"DC0614.1: Mon ami est en grace si parfaict,",DC0614: Mon ami est en grace si parfaict,S,Evaded,C,T,Authentic,None,G,None,CAD NDLT,C
"DC0613.6: Qu'en toy gist ma pensée,","DC0613: Et vray Dieu, qu'il m'ennuye",S,,D,T,Authentic,D,None,Plagal,None,D
"DC0613.5: Ce pendant soys seure,","DC0613: Et vray Dieu, qu'il m'ennuye",None,,D,None,Plagal,G,D,Authentic,Authentic,D
DC0612.8: Et vous causer par cela un tourment.,DC0612: Puisque voulez que de vous je m'absente,S,,G,T,Authentic,D,None,Authentic,None,G
"DC0612.7: Que plus vous faire entendre mes clameurs,",DC0612: Puisque voulez que de vous je m'absente,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,A,G,Phrygian,Authentic,G
"DC0612.6: Pour vous donner quelque contentement,",DC0612: Puisque voulez que de vous je m'absente,S,,A,T,Phrygian,B-flat,D,Authentic,Authentic,G
"DC0612.5: Trop plus seray satisfaict en mes pleurs,",DC0612: Puisque voulez que de vous je m'absente,S,,B-flat,T,Authentic,D,A,Plagal,Phrygian,G
"DC0612.3: Mourir m’est doulx pour vous rendre contente,",DC0612: Puisque voulez que de vous je m'absente,Ct,Displaced,D,B,Phrygian,G,D,Authentic,Plagal,G
"DC0612.2: Et que pitié ne peult flechir voz meurs,",DC0612: Puisque voulez que de vous je m'absente,S,,G,T,Authentic,G,D,Authentic,Phrygian,G
"DC0612.1: Puisque voulez que de vous je m’absente,",DC0612: Puisque voulez que de vous je m'absente,S,,G,T,Authentic,G,G,Authentic,Authentic,G
DC0611.8: Par ce qu’icy ne voy la mienne.,DC0611: Sur l'aubépin qui est en fleur,S,,D,T,Authentic,G,None,Authentic,None,D
"DC0611.7: Mais moy à tout dueil je m’applique,",DC0611: Sur l'aubépin qui est en fleur,None,,C,None,Plagal,C,G,Plagal,Authentic,D
DC0611.6: Dict mille mottetz en musique,DC0611: Sur l'aubépin qui est en fleur,None,,C,None,Plagal,D,C,Phrygian,Plagal,D
"DC0611.5: Chascun pour l’amour de la sienne,",DC0611: Sur l'aubépin qui est en fleur,Ct,Displaced,D,B,Phrygian,D,C,Authentic,Plagal,D
DC0610.10: Nostre curé souvent m’en a preschée.,DC0610: Un bon vieillard qui n'avoit que le bec,S,,G,T,Authentic,D,None,Plagal,None,G
"DC0610.8: Dont se mocquant, dict la dame faschée,",DC0610: Un bon vieillard qui n'avoit que le bec,None,,D,None,Plagal,B-flat,G,Plagal,Authentic,G
"DC0610.7: Plus de cent fois, et ne peult deslacher,",DC0610: Un bon vieillard qui n'avoit que le bec,None,Displaced,B-flat,None,Plagal,B-flat,D,Authentic,Plagal,G
"DC0610.5: Pour tout payement luy chante ceste game,",DC0610: Un bon vieillard qui n'avoit que le bec,S,,D,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0610.2: Se trouvant court pres d’une jeune dame,",DC0610: Un bon vieillard qui n'avoit que le bec,S,,G,T,Authentic,None,D,None,Authentic,G
